time,Emitted_bb,ch32
0.0,0.0016359375,-0.00024281250000000008
2e-10,0.00192,1.3437499999999886e-05
4e-10,0.0017821875,0.0002103124999999999
6e-10,0.0017109375,0.0004571874999999999
8e-10,0.0017709375,0.0002103124999999999
1e-09,0.00159,-0.00013968750000000005
1.2e-09,0.0016640625,-8.968750000000014e-05
1.4e-09,0.0017559375,0.0002071874999999999
1.6e-09,0.0016040625,0.00015718749999999988
1.8e-09,0.0018159375,1.0312499999999905e-05
2e-09,0.00162,1.3437499999999886e-05
2.2e-09,0.001708125,1.0312499999999905e-05
2.4e-09,0.001935,-4.593750000000008e-05
2.6e-09,0.0016209375,0.00016343749999999985
2.8e-09,0.00165,0.00016031249999999986
3e-09,0.0017840625,-0.0003334375000000001
3.2e-09,0.001753125,-0.0001490625000000001
3.4e-09,0.0017259375,0.00021343749999999987
3.6e-09,0.00171,-0.00024281250000000008
3.8e-09,0.0017859375,-0.00018968750000000008
4e-09,0.001815,-0.0004365625000000002
4.2e-09,0.0017259375,6.031249999999993e-05
4.4e-09,0.001695,1.0312499999999905e-05
4.6e-09,0.00162,-0.00013968750000000005
4.8e-09,0.001663125,-9.281250000000012e-05
5e-09,0.0017709375,6.031249999999993e-05
5.2e-09,0.001665,0.00011031249999999995
5.4e-09,0.001635,0.00011031249999999995
5.6e-09,0.001785,5.718749999999995e-05
5.8e-09,0.0017409375,-0.00028656250000000003
6e-09,0.00174,0.00010406249999999988
6.2e-09,0.0019040625,0.0003603124999999999
6.4e-09,0.00174,0.00016031249999999986
6.6e-09,0.0016809375,-0.00013968750000000005
6.8e-09,0.0016659375,-0.0001865625000000001
7e-09,0.001695,0.0002103124999999999
7.2e-09,0.00168,6.031249999999993e-05
7.4e-09,0.0015909375,0.0004540624999999999
7.6e-09,0.00171,0.0003634374999999999
7.8e-09,0.001875,-3.968750000000012e-05
8e-09,0.001845,0.0002634374999999999
8.2e-09,0.001695,1.0312499999999905e-05
8.4e-09,0.001785,-0.00013656250000000007
8.6e-09,0.001768125,0.00021343749999999987
8.8e-09,0.001786875,0.0004103124999999999
9e-09,0.001695,-0.00044281250000000017
9.2e-09,0.0016809375,-0.0005396875000000001
9.4e-09,0.001888125,0.00010718749999999986
9.6e-09,0.0017109375,-0.00013656250000000007
9.8e-09,0.0019209375,0.0003071874999999999
1e-08,0.0017390625,0.00011031249999999995
1.02e-08,0.0015440625,-0.00019281250000000006
1.04e-08,0.0018609375,1.6562499999999867e-05
1.06e-08,0.001648125,-9.281250000000012e-05
1.08e-08,0.0017709375,0.00016343749999999985
1.1e-08,0.001815,1.3437499999999886e-05
1.12e-08,0.0016959375,5.718749999999995e-05
1.14e-08,0.0018140625,-0.00023656250000000012
1.16e-08,0.0016490625,-3.6562500000000137e-05
1.18e-08,0.0017409375,0.00011343749999999993
1.2e-08,0.001771875,-0.00018968750000000008
1.22e-08,0.001635,-8.656250000000005e-05
1.24e-08,0.0018140625,-8.968750000000014e-05
1.26e-08,0.0017709375,6.656249999999989e-05
1.28e-08,0.001845,0.0004540624999999999
1.3e-08,0.001815,0.0004603124999999999
1.32e-08,0.0017709375,1.6562499999999867e-05
1.34e-08,0.0018309375,-0.00014593750000000013
1.36e-08,0.0022790625,0.0003134374999999999
1.38e-08,0.00318,0.00015718749999999988
1.4e-08,0.0049790625,-8.968750000000014e-05
1.42e-08,0.007935,0.0002634374999999999
1.44e-08,0.0116709375,1.0312499999999905e-05
1.46e-08,0.0164409375,-8.968750000000014e-05
1.48e-08,0.021583125,-3.6562500000000137e-05
1.5e-08,0.0265340625,-4.593750000000008e-05
1.52e-08,0.030286875,-0.00013968750000000005
1.54e-08,0.03177,-0.00013656250000000007
1.56e-08,0.03216,-0.00039281250000000004
1.58e-08,0.03219,-3.968750000000012e-05
1.6e-08,0.0321890625,5.718749999999995e-05
1.62e-08,0.032385,-0.00018343750000000012
1.64e-08,0.0325059375,0.00016343749999999985
1.66e-08,0.0326259375,-0.00028656250000000003
1.68e-08,0.032595,-8.968750000000014e-05
1.7e-08,0.0324,7.187499999999924e-06
1.72e-08,0.03189,-0.0001334375000000001
1.74e-08,0.0313490625,0.0001540624999999999
1.76e-08,0.03057,6.343749999999991e-05
1.78e-08,0.0295190625,0.0001540624999999999
1.8e-08,0.028888125,0.00011343749999999993
1.82e-08,0.0281109375,-0.00033968750000000004
1.84e-08,0.0273590625,-9.59375000000001e-05
1.86e-08,0.0265959375,-4.28125000000001e-05
1.88e-08,0.0259340625,1.0312499999999905e-05
1.9e-08,0.0252009375,7.187499999999924e-06
1.92e-08,0.0244209375,-0.00028656250000000003
1.94e-08,0.0238940625,-0.00013968750000000005
1.96e-08,0.02298,1.0312499999999905e-05
1.98e-08,0.022453125,0.00016031249999999986
2e-08,0.0219159375,0.00011343749999999993
2.02e-08,0.021253125,5.718749999999995e-05
2.04e-08,0.020685,-0.00023343750000000014
2.06e-08,0.02013,-9.59375000000001e-05
2.08e-08,0.0198,0.00021343749999999987
2.1e-08,0.01926,-0.00013968750000000005
2.12e-08,0.0186740625,0.00016031249999999986
2.14e-08,0.018105,0.00011031249999999995
2.16e-08,0.017565,-0.00024281250000000008
2.18e-08,0.0172040625,-0.0001865625000000001
2.2e-08,0.0166790625,0.0003603124999999999
2.22e-08,0.0162309375,6.343749999999991e-05
2.24e-08,0.0160228125,-0.00019281250000000006
2.26e-08,0.015448125,0.0003134374999999999
2.28e-08,0.01482,0.0001540624999999999
2.3e-08,0.01482,-9.281250000000012e-05
2.32e-08,0.01428,-0.00018343750000000012
