time,Emitted_bb,ch08
0.0,0.0017240625,-0.00011928124999999179
2e-10,0.0016809375,-1.3031250000003491e-05
4e-10,0.001785,0.0003900937500000007
6e-10,0.001695,8.696874999999937e-05
8e-10,0.001605,-0.00021615625000000194
1e-09,0.001815,9.009375000000597e-05
1.2e-09,0.00174,0.00023384375000000401
1.4e-09,0.001575,-9.906249999996897e-06
1.6e-09,0.0017390625,-0.00010990624999999976
1.8e-09,0.0016509375,0.00013071875000000843
2e-09,0.0016190625,0.00024009375000000333
2.2e-09,0.00171,-0.00016303125000000085
2.4e-09,0.0017240625,-0.00016303125000000085
2.6e-09,0.001711875,0.00018696875000000224
2.8e-09,0.0016190625,0.0002838437499999985
3e-09,0.001635,9.009375000000597e-05
3.2e-09,0.0017690625,0.00019009375000000883
3.4e-09,0.0018309375,0.0003338437500000069
3.6e-09,0.001695,-0.00016303125000000085
3.8e-09,0.00162,-0.0003130312499999982
4e-09,0.0016790625,4.0093749999997597e-05
4.2e-09,0.0015440625,0.0003369687499999996
4.4e-09,0.00171,0.00013071875000000843
4.6e-09,0.0017540625,-0.00016303125000000085
4.8e-09,0.001605,-1.615624999999621e-05
5e-09,0.0017409375,-0.0002599062499999971
5.2e-09,0.0018009375,-0.0002630312500000037
5.4e-09,0.001738125,-0.00016303125000000085
5.6e-09,0.001755,8.696874999999937e-05
5.8e-09,0.0018309375,-0.0002630312500000037
6e-09,0.0017840625,-0.00020990625000000263
6.2e-09,0.001681875,9.009375000000597e-05
6.4e-09,0.00168,-6.61562499999907e-05
6.6e-09,0.0017990625,-0.0003130312499999982
6.8e-09,0.0017690625,-6.303124999999798e-05
7e-09,0.0015890625,8.696874999999937e-05
7.2e-09,0.0017559375,3.696875000000488e-05
7.4e-09,0.0018,8.071875000000006e-05
7.6e-09,0.0016190625,-0.00020678124999999603
7.8e-09,0.0016059375,-0.0004099062499999945
8e-09,0.0016190625,3.3843749999998285e-05
8.2e-09,0.0017259375,0.00014009375000000046
8.4e-09,0.0018590625,-0.00016303125000000085
8.6e-09,0.0017259375,3.696875000000488e-05
8.8e-09,0.001663125,0.0002900937499999978
9e-09,0.00171,-0.00026615624999999643
9.2e-09,0.001605,-5.990624999999139e-05
9.4e-09,0.001845,0.0002869687500000051
9.6e-09,0.00186,-0.0003099062499999916
9.8e-09,0.001755,8.696874999999937e-05
1e-08,0.001725,0.00018384375000000952
1.02e-08,0.00174,-0.00010990624999999976
1.04e-08,0.001785,-1.615624999999621e-05
1.06e-08,0.0016040625,9.321874999999868e-05
1.08e-08,0.0017390625,0.0003369687499999996
1.1e-08,0.0017390625,3.696875000000488e-05
1.12e-08,0.001845,-6.303124999999798e-05
1.14e-08,0.0018909375,8.384375000000666e-05
1.16e-08,0.00168,8.384375000000666e-05
1.18e-08,0.00162,0.00014009375000000046
1.2e-08,0.0017559375,-0.00016928125000000016
1.22e-08,0.00192,-0.0002630312500000037
1.24e-08,0.001771875,-9.906249999996897e-06
1.26e-08,0.001725,-5.990624999999139e-05
1.28e-08,0.00177,0.00018384375000000952
1.3e-08,0.0016659375,0.00043696875000000246
1.32e-08,0.0016790625,-0.00026615624999999643
1.34e-08,0.001875,0.00018071875000000293
1.36e-08,0.0022959375,-9.906249999996897e-06
1.38e-08,0.00309,8.384375000000666e-05
1.4e-08,0.00486,0.00048696874999999695
1.42e-08,0.00789,-0.00016303125000000085
1.44e-08,0.0116840625,-5.678124999999867e-05
1.46e-08,0.01653,-0.00021615625000000194
1.48e-08,0.0214809375,-0.00016303125000000085
1.5e-08,0.02628,0.0003369687499999996
1.52e-08,0.030285,0.00024009375000000333
1.54e-08,0.032038125,-0.00016615624999999357
1.56e-08,0.032175,-0.00016303125000000085
1.58e-08,0.0321759375,-0.00011303124999999248
1.6e-08,0.032233125,3.3843749999998285e-05
1.62e-08,0.032355,0.00014009375000000046
1.64e-08,0.0325190625,-0.00026615624999999643
1.66e-08,0.032595,-0.00016303125000000085
1.68e-08,0.03264,0.00013384375000000115
1.7e-08,0.032535,0.00024321875000000992
1.72e-08,0.031995,0.00018384375000000952
1.74e-08,0.0313809375,-1.3031250000003491e-05
1.76e-08,0.0306,-0.00026615624999999643
1.78e-08,0.0298209375,9.009375000000597e-05
1.8e-08,0.0289490625,0.0003307187500000003
1.82e-08,0.0281709375,-0.00015678125000000154
1.84e-08,0.0275559375,-0.00011303124999999248
1.86e-08,0.02667,8.384375000000666e-05
1.88e-08,0.0259509375,-0.00015990624999999425
1.9e-08,0.0253040625,-9.906249999996897e-06
1.92e-08,0.024555,0.00018384375000000952
1.94e-08,0.023833125,-5.990624999999139e-05
1.96e-08,0.023203125,-6.61562499999907e-05
1.98e-08,0.0225028125,-0.00020990625000000263
2e-08,0.022003125,-0.0003630312499999927
2.02e-08,0.02145,-0.00011615624999999907
2.04e-08,0.0206090625,-6.303124999999798e-05
2.06e-08,0.020146875,8.696874999999937e-05
2.08e-08,0.01965,0.00014009375000000046
2.1e-08,0.01923,-0.0002630312500000037
2.12e-08,0.018868125,8.384375000000666e-05
2.14e-08,0.0182109375,-0.00021303124999999534
2.16e-08,0.0178340625,-0.0003130312499999982
2.18e-08,0.017236875,0.00018384375000000952
2.2e-08,0.0166959375,-0.00035990625
2.22e-08,0.016468125,-0.00016615624999999357
2.24e-08,0.015975,9.009375000000597e-05
2.26e-08,0.015541875,-0.00011615624999999907
2.28e-08,0.0152090625,-1.615624999999621e-05
2.3e-08,0.01479,0.00013696875000000774
2.32e-08,0.0143109375,9.009375000000597e-05
2.34e-08,0.013995,0.0005338437499999987
2.36e-08,0.013545,0.00018384375000000952
2.38e-08,0.0134240625,-0.00046615625000000216
2.4e-08,0.0132609375,0.00019009375000000883
2.42e-08,0.0127640625,-6.303124999999798e-05
2.44e-08,0.01236,-0.0003067812499999989
2.46e-08,0.012135,-0.00021303124999999534
2.48e-08,0.0120440625,-0.00016615624999999357
2.5e-08,0.011655,-0.00020990625000000263
2.52e-08,0.0112209375,8.384375000000666e-05
2.54e-08,0.0111159375,0.0003932187500000073
2.56e-08,0.01077,-0.00011615624999999907
2.58e-08,0.0104409375,4.0093749999997597e-05
2.6e-08,0.0102759375,0.0003900937500000007
2.62e-08,0.0100040625,0.00038696875000000797
2.64e-08,0.0097809375,0.00013696875000000774
2.66e-08,0.0097940625,-0.00021303124999999534
2.68e-08,0.00948,-9.906249999996897e-06
2.7e-08,0.0091809375,3.3843749999998285e-05
2.72e-08,0.009135,-9.906249999996897e-06
2.74e-08,0.008715,-6.61562499999907e-05
2.76e-08,0.008563125,0.00014009375000000046
2.78e-08,0.00855,-0.00011303124999999248
2.8e-08,0.0082490625,-0.00015990624999999425
2.82e-08,0.0081890625,8.696874999999937e-05
2.84e-08,0.007995,9.009375000000597e-05
2.86e-08,0.00768,0.0003369687499999996
2.88e-08,0.007665,0.00038384375000000137
2.9e-08,0.007425,-0.0003130312499999982
2.92e-08,0.007455,-0.0003099062499999916
2.94e-08,0.007365,-0.00035990625
2.96e-08,0.0070359375,8.384375000000666e-05
2.98e-08,0.0070209375,0.00013384375000000115
3e-08,0.0068990625,-0.00015990624999999425
3.02e-08,0.00666,0.00023696874999999673
3.04e-08,0.0066459375,0.00014009375000000046
3.06e-08,0.006645,-0.0003661562499999993
3.08e-08,0.00678,-6.303124999999798e-05
3.1e-08,0.006826875,8.696874999999937e-05
3.12e-08,0.0065690625,0.00018696875000000224
3.14e-08,0.0064659375,-0.00021303124999999534
3.16e-08,0.0066,-0.00016928125000000016
3.18e-08,0.006315,-5.990624999999139e-05
3.2e-08,0.0061059375,-0.00016303125000000085
3.22e-08,0.005865,-6.303124999999798e-05
3.24e-08,0.005205,-0.0003630312499999927
3.26e-08,0.004978125,0.00023696874999999673
3.28e-08,0.004605,0.00024009375000000333
3.3e-08,0.0040490625,-0.0003099062499999916
3.32e-08,0.003945,-0.00016615624999999357
3.34e-08,0.0036009375,0.00024009375000000333
3.36e-08,0.0030590625,-0.00011615624999999907
3.38e-08,0.002925,3.696875000000488e-05
3.4e-08,0.00282,0.00038696875000000797
3.42e-08,0.002685,-0.00011303124999999248
3.44e-08,0.0024890625,-0.00016615624999999357
3.46e-08,0.002263125,8.384375000000666e-05
3.48e-08,0.0022809375,0.00018384375000000952
3.5e-08,0.002023125,0.0002838437499999985
3.52e-08,0.00195,-0.0002567812499999905
3.54e-08,0.0018740625,-1.9281250000002803e-05
3.56e-08,0.001591875,9.009375000000597e-05
3.58e-08,0.00168,-0.00011928124999999179
3.6e-08,0.001513125,-1.3031250000003491e-05
3.62e-08,0.0014690625,-0.00015990624999999425
3.64e-08,0.0014240625,-6.303124999999798e-05
3.66e-08,0.001185,-0.00021303124999999534
3.68e-08,0.0011409375,4.0093749999997597e-05
